rouge1_f,rouge2_f,rougeL_f,bleu,bert_p,bert_r,bert_f1
0.3027295285359802,0.12468827930174564,0.1687344913151365,0.04646190506779807,0.05430365726351738,0.19909092783927917,0.12708568572998047
0.12264150943396226,0.0805687203791469,0.10849056603773585,0.03079331095722293,-0.20363597571849823,0.1320856362581253,-0.03982642665505409
0.18290258449304175,0.043912175648702596,0.09145129224652088,0.01750618803238242,-0.41392526030540466,0.09460818022489548,-0.17127861082553864
0.18274111675126906,0.04591836734693878,0.10152284263959392,0.02157210109574716,-0.05861762538552284,0.1725562959909439,0.05583490803837776
0.07328605200945626,0.026066350710900476,0.056737588652482275,0.009372514163187944,-0.3881825804710388,0.16862677037715912,-0.12399869412183762
0.08433734939759037,0.0,0.05421686746987951,0.0011518009886932682,-0.20855873823165894,-0.21147871017456055,-0.2080533653497696
0.24311926605504586,0.05990783410138249,0.1651376146788991,0.008174593693677646,-0.154810830950737,0.09094323962926865,-0.033325422555208206
0.05138339920948617,0.03968253968253968,0.05138339920948617,0.01711350733826665,-0.6036132574081421,0.079755999147892,-0.28480392694473267
0.24242424242424246,0.12608695652173912,0.18181818181818182,0.028798740596079616,0.008979211561381817,0.2611430287361145,0.13334159553050995
0.3043478260869565,0.15873015873015875,0.20948616600790515,0.06593571643918102,-0.2956467866897583,0.420714795589447,0.03844344615936279
0.022058823529411766,0.0,0.01715686274509804,0.0003821902749353701,-0.789584755897522,-0.103431835770607,-0.470319926738739
0.03448275862068966,0.005763688760806917,0.028735632183908042,0.000878861375782219,-0.8768691420555115,-0.0046408637426793575,-0.48064282536506653
0.1287878787878788,0.06870229007633587,0.09848484848484848,0.030131779099984907,-0.015762701630592346,-0.31178292632102966,-0.16647383570671082
0.37198067632850235,0.12135922330097089,0.2270531400966184,0.07500879362074629,0.13991445302963257,0.18011997640132904,0.1613035500049591
0.17543859649122806,0.010075566750629723,0.11027568922305764,0.003716435437110666,-0.16199971735477448,-0.07391742616891861,-0.11654168367385864
0.1256544502617801,0.042105263157894736,0.1099476439790576,0.012702296870122757,-0.05197669565677643,0.16272594034671783,0.05460908263921738
0.08362369337979095,0.014035087719298246,0.06968641114982578,0.002269677312297436,-0.24073611199855804,0.0327393114566803,-0.10606160014867783
0.18819776714513559,0.1024,0.15311004784688995,0.05251122824258554,-0.1488172560930252,0.15008701384067535,-0.0022524669766426086
0.30303030303030304,0.07025761124121781,0.13053613053613056,0.009854235427279303,0.01703902892768383,0.07800506800413132,0.048885032534599304
0.19811320754716982,0.05687203791469195,0.1320754716981132,0.026040947678016273,-0.0876423791050911,0.09154457598924637,0.001953691942617297
0.18563922942206657,0.08084358523725835,0.12959719789842383,0.044842644089053856,-0.16118255257606506,0.04718541353940964,-0.05749759450554848
0.24637681159420288,0.12621359223300968,0.20772946859903382,0.048189148415652625,0.027715882286429405,0.20971043407917023,0.11851303279399872
0.21844660194174756,0.10243902439024388,0.17961165048543687,0.056722493467868174,-0.23123441636562347,-0.14207586646080017,-0.18514268100261688
0.26280623608017817,0.08501118568232661,0.1514476614699332,0.0402487674904125,-0.008764839731156826,0.19915954768657684,0.0945269763469696
0.25656877897990726,0.08062015503875969,0.13601236476043277,0.04722014075412161,-0.25753387808799744,0.08100005239248276,-0.0923924669623375
0.16025641025641024,0.03870967741935484,0.09615384615384615,0.013982274909190899,-0.016462417319417,0.19356787204742432,0.08784656971693039
0.3130434782608696,0.07860262008733625,0.18695652173913044,0.06630307547980223,0.1084849163889885,-0.034145012497901917,0.03770922124385834
0.30952380952380953,0.10526315789473685,0.17619047619047618,0.07121215356526439,0.007140777539461851,0.12127439677715302,0.0650806874036789
0.1366120218579235,0.027472527472527472,0.0819672131147541,0.006962857848332917,-0.050411004573106766,-0.30237314105033875,-0.17781740427017212
0.1393841166936791,0.04227642276422764,0.10372771474878445,0.013336301799623782,-0.1793787032365799,0.08069584518671036,-0.05108558386564255
0.0782122905027933,0.02247191011235955,0.05027932960893855,0.008909194907875043,-0.22673861682415009,0.04513522982597351,-0.0928310975432396
0.3358395989974937,0.15113350125944583,0.2305764411027569,0.043418107374819985,0.10792209953069687,0.14248017966747284,0.12656407058238983
0.09880749574105623,0.0034188034188034192,0.06132879045996593,0.0012837540264517215,-0.46339988708496094,-0.0027724916581064463,-0.24233444035053253
0.24068767908309457,0.06916426512968299,0.14899713467048709,0.04434072570618475,0.05798158422112465,-0.14252686500549316,-0.042635478079319
0.2608695652173913,0.0819672131147541,0.14130434782608697,0.04298009022633467,-0.05405355617403984,0.03317439183592796,-0.009181151166558266
0.24019607843137256,0.06403940886699508,0.1372549019607843,0.01177930676061424,0.06010797247290611,0.2381371408700943,0.14895276725292206
0.4072164948453608,0.16580310880829013,0.21649484536082475,0.1014848401982351,0.07773174345493317,0.19127361476421356,0.1352769285440445
0.3300970873786408,0.12682926829268293,0.18932038834951456,0.04689405096185156,0.10320097208023071,0.11202273517847061,0.10905817896127701
0.26478873239436623,0.13031161473087818,0.19154929577464788,0.08073872294952779,0.06344736367464066,0.1822844296693802,0.12359680235385895
0.2936288088642659,0.050139275766016705,0.13850415512465372,0.009228898697909127,0.02920551784336567,0.03769392892718315,0.03501636162400246
0.3712121212121212,0.2442748091603054,0.30303030303030304,0.1666868539284514,-0.0036124850157648325,0.2377561777830124,0.11563370376825333
0.10666666666666666,0.042895442359249324,0.06933333333333334,0.002567653364396287,-0.15114103257656097,-0.455758273601532,-0.3063408136367798
0.18223234624145782,0.04576659038901602,0.11845102505694761,0.008771070769885736,-0.13596874475479126,0.09397607296705246,-0.022017883136868477
0.24929178470254953,0.09116809116809116,0.17563739376770537,0.04841164215135071,0.09067118167877197,0.2643481194972992,0.17737701535224915
0.20097244732576985,0.07154471544715447,0.11021069692058345,0.02326195323589643,-0.1451089084148407,0.22481906414031982,0.03455760329961777
0.21212121212121213,0.05583756345177665,0.11616161616161616,0.021135202367985932,-0.07300353795289993,0.06602335721254349,-0.0028348311316221952
0.3224115334207078,0.16294349540078842,0.21756225425950196,0.08827450896192468,0.008767669089138508,0.16246135532855988,0.08592960238456726
0.09722222222222222,0.006993006993006993,0.04861111111111111,0.005155705209384998,-0.14245650172233582,0.1035078838467598,-0.020884232595562935
0.25334957369062117,0.10256410256410256,0.16321559074299632,0.04933969257387282,-0.7018719911575317,-0.33498334884643555,-0.5235573053359985
0.33423180592991913,0.10298102981029811,0.1940700808625337,0.07202996496671897,0.05742301791906357,0.20935176312923431,0.13366226851940155
0.3518518518518519,0.06976744186046512,0.18518518518518517,0.011716330373163985,0.18616926670074463,-0.026713263243436813,0.07896207273006439
0.27837259100642403,0.09462365591397849,0.15845824411134904,0.026038601266957607,-0.870313823223114,0.0740235447883606,-0.4449102580547333
0.20147420147420145,0.04444444444444444,0.12285012285012287,0.0168463987758336,0.02210789918899536,0.10836487263441086,0.06638526916503906
0.2153846153846154,0.09271523178807946,0.14505494505494507,0.04988937741338373,-0.08217412978410721,0.11225301027297974,0.014738155528903008
0.1729106628242075,0.02318840579710145,0.08645533141210375,0.0034759968306462058,0.006943031679838896,0.1477075070142746,0.0778411328792572
0.13529411764705881,0.00591715976331361,0.09411764705882353,0.0021770803565057265,-0.23170949518680573,0.04899931326508522,-0.09363524615764618
0.12312312312312312,0.012048192771084336,0.06006006006006006,0.0018796773510868297,-0.4892508089542389,0.0975748673081398,-0.2120172530412674
0.023372287145242074,0.0,0.02003338898163606,0.0004706061669168737,-0.6757437586784363,0.05723048001527786,-0.3361000120639801
0.0781954887218045,0.03619909502262443,0.05112781954887218,0.0037319272185729565,-0.6760621070861816,-0.1992097795009613,-0.44790685176849365
0.28992628992628994,0.06419753086419754,0.15724815724815724,0.03647720834321412,0.13054823875427246,0.1829603910446167,0.15799088776111603
0.24444444444444444,0.07142857142857142,0.13333333333333336,0.040714153896991206,-0.5428076982498169,0.14585541188716888,-0.22150354087352753
0.17182130584192443,0.07612456747404843,0.1374570446735395,0.038484039234470586,-0.050072818994522095,0.19782812893390656,0.07232580333948135
0.31364562118126277,0.0736196319018405,0.16700610997963342,0.05537486356662423,0.1069033071398735,0.02157612517476082,0.06539464741945267
0.32104121475054226,0.05664488017429194,0.15184381778741865,0.0050793251514613,0.02833140455186367,0.12112017720937729,0.07580197602510452
0.21081081081081082,0.043478260869565216,0.12972972972972974,0.02600567639163134,-0.07724321633577347,0.04418158903717995,-0.015624238178133965
0.23293172690763053,0.08064516129032258,0.14859437751004015,0.03738662374931093,-0.8335405588150024,-0.15104243159294128,-0.5160176753997803
0.09156626506024096,0.029055690072639223,0.07710843373493975,0.004511472247271181,-0.1918773502111435,0.20861954987049103,0.00189294817391783
0.07088607594936709,0.0050890585241730275,0.05569620253164557,0.0015538961354077331,-0.2158905416727066,0.04256966710090637,-0.0883275717496872
0.28504672897196265,0.06103286384976525,0.16822429906542058,0.009928420194746202,-0.05712657421827316,0.007132851984351873,-0.023539656773209572
0.19597989949748745,0.08080808080808081,0.1206030150753769,0.04046639764905432,-0.0462353490293026,0.13270853459835052,0.04318958893418312
0.31702544031311153,0.12966601178781925,0.1761252446183953,0.06045253287684311,0.04343436658382416,0.19888930022716522,0.12140048295259476
0.26932668329177056,0.03508771929824561,0.16957605985037408,0.010133282030832837,-0.036734357476234436,0.05787425860762596,0.011728155426681042
0.311614730878187,0.11965811965811965,0.17563739376770537,0.06480116157345113,0.09385067224502563,0.22572354972362518,0.1603030413389206
0.20869565217391303,0.11661807580174928,0.16811594202898553,0.03862056602345919,0.05653935298323631,0.16060607135295868,0.1094876229763031
0.06060606060606061,0.0,0.048484848484848485,0.001056777548330086,-0.39442697167396545,-0.2161821871995926,-0.3048921525478363
0.2175226586102719,0.09118541033434649,0.14501510574018128,0.03052681681149038,0.059341397136449814,-0.18987040221691132,-0.06672324240207672
0.07246376811594203,0.0,0.05434782608695652,0.0011080506129501734,-0.4553864002227783,0.006567246746271849,-0.2337162345647812
0.34579439252336447,0.16901408450704228,0.21495327102803738,0.08338451239985806,0.044782854616642,0.1510785073041916,0.09883873164653778
0.19425444596443228,0.0850480109739369,0.12859097127222982,0.030442873064442134,-0.12836702167987823,-0.11722531169652939,-0.12097810208797455
0.14634146341463414,0.02941176470588235,0.10243902439024392,0.005360509240421367,-0.14100754261016846,0.08461334556341171,-0.029110433533787727
0.26168224299065423,0.05015673981191223,0.1557632398753894,0.024005475415193354,-0.02275419794023037,0.04183179885149002,0.010938839055597782
0.09870129870129869,0.010443864229765013,0.07272727272727274,0.0028159146482185683,-0.14903976023197174,0.044722434133291245,-0.05236367881298065
0.14516129032258066,0.010810810810810811,0.0913978494623656,0.0028436752158782883,-0.05297143757343292,-0.03740493580698967,-0.04350213706493378
0.23560209424083767,0.0894736842105263,0.16230366492146595,0.06401170356560826,-0.027333833277225494,-0.21415287256240845,-0.12073653936386108
0.4855769230769231,0.25603864734299514,0.27403846153846156,0.15713830986745136,0.17533251643180847,0.25328999757766724,0.2152949571609497
0.16642335766423358,0.09077598828696924,0.11094890510948907,0.030299577755403186,-0.652073323726654,-0.23371487855911255,-0.45026278495788574
