rouge1_f,rouge2_f,rougeL_f,bleu,bert_p,bert_r,bert_f1
0.3304843304843305,0.12034383954154727,0.16524216524216526,0.032040817834591805,0.004640125669538975,0.16705800592899323,0.08602672070264816
0.1596958174904943,0.03831417624521073,0.11406844106463877,0.006790927206953813,-0.08549158275127411,0.13672436773777008,0.02472027763724327
0.2962962962962963,0.09316770186335403,0.16049382716049385,0.034979692309301154,0.06592784821987152,0.250110000371933,0.15772849321365356
0.1865671641791045,0.022556390977443608,0.11940298507462686,0.018468061403045508,0.01223299466073513,0.12147566676139832,0.06777778267860413
0.18120805369127516,0.10135135135135134,0.13422818791946312,0.03094413678583915,-0.08460579812526703,0.2530190348625183,0.08003392070531845
0.10116731517509728,0.0,0.07003891050583658,0.0015451117649920916,-0.16272561252117157,-0.19816982746124268,-0.17859682440757751
0.3133333333333333,0.06711409395973156,0.18000000000000002,0.021685122424922376,-0.00373240583576262,0.11454620957374573,0.05624457448720932
0.09282700421940927,0.01702127659574468,0.06751054852320676,0.0027129703196149095,-0.13798122107982635,0.20387186110019684,0.028653442859649658
0.28859060402684567,0.13513513513513514,0.18791946308724833,0.019358329213604513,0.07662592828273773,0.2773255705833435,0.17635072767734528
0.3870967741935484,0.18181818181818182,0.2258064516129032,0.07647569255666155,0.13463227450847626,0.35358819365501404,0.24303264915943146
0.24489795918367344,0.01646090534979424,0.13877551020408163,0.008774142639209998,0.05150161311030388,0.2072230577468872,0.1295853704214096
0.104,0.024193548387096774,0.08,0.0033226964851859595,-0.19241681694984436,0.058724258095026016,-0.0683407261967659
0.11510791366906475,0.007246376811594203,0.07194244604316546,0.002946531717203662,-0.16950556635856628,-0.3865697979927063,-0.2784922122955322
0.4021164021164021,0.1276595744680851,0.24867724867724864,0.074835000013087,0.18118423223495483,0.2333802580833435,0.20843902230262756
0.22686567164179106,0.012012012012012012,0.10746268656716418,0.0043332955756558355,-0.09727390110492706,-0.050896693021059036,-0.07244940847158432
0.1684981684981685,0.05166051660516605,0.13186813186813187,0.008363839369286866,-0.056405987590551376,0.10924140363931656,0.026623114943504333
0.05925925925925927,0.00746268656716418,0.04444444444444444,0.0020678854211288824,-0.1872793287038803,0.006007654592394829,-0.09078381210565567
0.28762541806020064,0.10101010101010102,0.1939799331103679,0.04620389530012415,0.05245991796255112,0.1902308464050293,0.12183946371078491
0.2962962962962963,0.045845272206303724,0.13675213675213674,0.011425055701926909,0.07355502992868423,0.029133446514606476,0.05278605967760086
0.23255813953488372,0.07357859531772576,0.1461794019933555,0.013765104408020716,-0.03321526199579239,0.0672677606344223,0.01811685599386692
0.2586750788643533,0.05714285714285715,0.12618296529968454,0.02902409589505767,0.05882740020751953,0.11182854324579239,0.0866754800081253
0.31055900621118016,0.1375,0.19875776397515527,0.05589896387856119,0.08110898733139038,0.20330166816711426,0.1428677886724472
0.2876254180602007,0.09427609427609428,0.18729096989966554,0.04573933408394579,0.06963973492383957,-0.10890395194292068,-0.019598370417952538
0.29333333333333333,0.07506702412868634,0.17066666666666663,0.050292303856788616,0.08099614083766937,0.17912106215953827,0.13099977374076843
0.34375000000000006,0.08376963350785341,0.18749999999999997,0.06020857476048584,0.10651347786188126,0.18201524019241333,0.1453762948513031
0.12878787878787878,0.030534351145038167,0.07575757575757575,0.015444118006253532,-0.06457511335611343,0.0858779102563858,0.01112001109868288
0.42105263157894735,0.11764705882352942,0.2280701754385965,0.10336432123131474,0.20718266069889069,0.01669791154563427,0.11158399283885956
0.2697947214076246,0.029498525073746312,0.1466275659824047,0.005174270759465227,0.09095063805580139,0.048225365579128265,0.07100780308246613
0.1476923076923077,0.02476780185758514,0.09846153846153846,0.003720599474992547,-0.008998313918709755,-0.31476056575775146,-0.1648881435394287
0.22619047619047622,0.05988023952095808,0.15476190476190477,0.024961377658021935,0.03299877047538757,0.18110758066177368,0.1074216291308403
0.10236220472440945,0.015873015873015876,0.07086614173228348,0.002805819577094309,-0.13347728550434113,0.052190616726875305,-0.04070580005645752
0.40117994100294985,0.1839762611275964,0.23008849557522124,0.061371898760298985,0.0753135159611702,0.1361173838376999,0.1069868877530098
0.10948905109489052,0.007352941176470588,0.0875912408759124,0.0025867572371272543,-0.16740252077579498,0.037600547075271606,-0.06531977653503418
0.19607843137254902,0.08552631578947369,0.14379084967320263,0.0393679535747047,0.067378930747509,-0.2718499004840851,-0.1063971072435379
0.31955922865013775,0.1772853185595568,0.25344352617079896,0.12736004758045755,-0.010982138104736805,0.22982144355773926,0.10800258070230484
0.31034482758620685,0.08333333333333334,0.15862068965517243,0.026584030226599772,0.17004750669002533,0.3366691768169403,0.2532397210597992
0.31268436578171094,0.05341246290801187,0.1592920353982301,0.03122456466982507,0.06551007181406021,0.08544282615184784,0.0769592896103859
0.3215258855585831,0.08767123287671234,0.1798365122615804,0.032009944317866794,0.08144576102495193,0.09235212206840515,0.08837701380252838
0.3191489361702128,0.11428571428571428,0.21276595744680848,0.05651943212292296,0.10966113209724426,0.1781943142414093,0.14508917927742004
0.26512968299711814,0.0463768115942029,0.13832853025936598,0.009942643049063782,0.03714470937848091,0.04268816486001015,0.04147498682141304
0.3137254901960784,0.11842105263157894,0.20261437908496735,0.030925730633712005,0.01548607088625431,0.1545124650001526,0.08552806079387665
